Startdatum,Starttid,Sluttid,Aktivitet,Tillfälleskod/kurskod,Lokal
2023-09-11,10:00,12:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-09-11,13:00,17:00,Laboration,SH1015,"Kärnlabbet,RB33"
2023-09-11,13:00,15:00,Övning,EL1000,"[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q24,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-09-12,08:00,10:00,Föreläsning,SF2940,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-12,08:00,12:00,Laboration,SH1015,RB33
2023-09-12,10:00,12:00,Övning,EL1000,"XQ25,XQ32"
2023-09-12,13:00,17:00,Laboration,SH1015,"Kärnlabbet,RB33"
2023-09-12,13:00,15:00,Övning,EL1000,"XQ23,XQ32"
2023-09-12,17:00,19:00,Föreläsning,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-09-13,08:00,10:00,Föreläsning,EI1320,H1
2023-09-13,10:00,12:00,Föreläsning,EL1000,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-13,13:00,15:00,Övning,EI1320,"[Q17,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q34,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-13,15:00,17:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-14,08:00,10:00,Föreläsning,EI1320,H1
2023-09-14,10:00,12:00,Övning,EL1000,"[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q24,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q26,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-09-14,13:00,15:00,Övning,EL1000,"[V11,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V12,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3]"
2023-09-14,13:00,15:00,Övning,SF2940,"[D41,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4],[E35,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E51,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E52,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E53,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[Q15,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1]"
2023-09-14,15:00,17:00,Föreläsning,EL1000,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-15,08:00,10:00,Föreläsning,EL1000,"[D1,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),6]"
2023-09-15,08:00,10:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-15,10:00,12:00,Övning,SF2940,"[U21,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),2],[U31,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),3],[U41,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),4],[U51,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),5],[V34,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
